Plate ID,Well ,Sample ID,User ID,Date ,Time ,Conc. ,Units ,A260 ,A280 ,260/280 ,260/230 ,Conc. Factor (ng/ul),Cursor Pos.,Cursor abs.,340 raw,NA Type
Plate1_RNA,F9,,Default,02/25/21,11:35:00 AM,61.25,ng/ul,1.531,0.732,2.09,1.76,40,260,1.531,0.143,RNA-40
Plate1_RNA,G9,,Default,02/25/21,11:35:00 AM,23.66,ng/ul,0.591,0.289,2.05,1.33,40,260,0.591,0.43,RNA-40
Plate1_RNA,H9,,Default,02/25/21,11:35:00 AM,39.77,ng/ul,0.994,0.471,2.11,1.93,40,260,0.994,0.141,RNA-40
Plate1_RNA,A10,,Default,02/25/21,11:36:00 AM,79.39,ng/ul,1.985,1.184,1.68,0.88,40,260,1.985,3.893,RNA-40
Plate1_RNA,B10,,Default,02/25/21,11:36:00 AM,28.06,ng/ul,0.702,0.35,2,1.52,40,260,0.702,0.143,RNA-40
Plate1_RNA,C10,,Default,02/25/21,11:36:00 AM,34.67,ng/ul,0.867,0.429,2.02,1.77,40,260,0.867,0.156,RNA-40
Plate1_RNA,D10,,Default,02/25/21,11:36:00 AM,56.58,ng/ul,1.415,0.728,1.94,1.27,40,260,1.415,0.494,RNA-40
Plate1_RNA,E10,,Default,02/25/21,11:36:00 AM,50.26,ng/ul,1.257,0.602,2.09,1.84,40,260,1.257,0.167,RNA-40
Plate1_RNA,F10,,Default,02/25/21,11:36:00 AM,146.5,ng/ul,3.661,2.221,1.65,0.9,40,260,3.661,6.407,RNA-40
Plate1_RNA,G10,,Default,02/25/21,11:36:00 AM,24.02,ng/ul,0.601,0.292,2.06,1.5,40,260,0.601,0.14,RNA-40
Plate1_RNA,H10,,Default,02/25/21,11:36:00 AM,61.46,ng/ul,1.537,0.905,1.7,0.84,40,260,1.537,2.686,RNA-40
Plate1_RNA,A11,,Default,02/25/21,11:37:00 AM,65.85,ng/ul,1.646,0.953,1.73,0.89,40,260,1.646,2.734,RNA-40
