Tag,Tank,Date,BW,Temp,Sal,Notes
289,1,2020-08-21,10.9382,28,33.5,
291,1,2020-08-21,7.89548,28.1,33.5,
A001,1,2020-08-21,4.7693,28,33.5,
A007,1,2020-08-21,3.9008,27.9,33.5,
A009,1,2020-08-21,3.589,28,33.5,
A019,1,2020-08-21,3.3468,27.9,33.5,
A022,1,2020-08-21,3.7836,27.9,33.5,
A024,1,2020-08-21,6.7042,27.9,33.5,
A048,1,2020-08-21,3.4256,28.1,33.5,
A051,1,2020-08-21,5.6369,28,33.5,
A061,1,2020-08-21,6.3755,28,33.5,
A067,1,2020-08-21,5.6261,28,33.5,
A075,1,2020-08-21,3.9326,28,33.5,
A077,1,2020-08-21,4.3251,28,33.5,
A084,1,2020-08-21,5.0266,28,33.5,
A105,1,2020-08-21,4.1606,28.1,33.4,
A116,1,2020-08-21,4.1526,28.1,33.4,
A127,1,2020-08-21,4.6866,28.2,33.4,
A152,1,2020-08-21,7.8189,28.2,33.4,
A158,1,2020-08-21,5.2349,28.1,33.5,
A159,1,2020-08-21,4.4126,28,33.5,
A184,1,2020-08-21,4.3831,28,33.5,
A192,1,2020-08-21,3.7584,28.1,33.4,
A196,1,2020-08-21,3.3624,28.2,33.3,
211,2,2020-08-21,3.4792,27.8,33.6,
214,2,2020-08-21,4.9958,27.8,33.6,
222,2,2020-08-21,7.3784,27.9,33.5,
237,2,2020-08-21,7.8517,27.9,33.5,
238,2,2020-08-21,5.537,27.9,33.6,
239,2,2020-08-21,4.5076,27.8,33.5,
270,2,2020-08-21,7.8426,27.9,33.5,
282,2,2020-08-21,6.555,27.6,33.6,
296,2,2020-08-21,10.0755,27.8,33.6,
A010,2,2020-08-21,3.7074,27.8,33.6,
A026,2,2020-08-21,3.168,27.8,33.6,
A029,2,2020-08-21,6.7221,27.2,33.6,
A038,2,2020-08-21,3.7002,27.7,33.6,
A041,2,2020-08-21,7.2849,27.7,33.6,
A052,2,2020-08-21,3.6975,27.7,33.6,
A060,2,2020-08-21,5.745,27.7,33.6,
A072,2,2020-08-21,4.4243,27.6,33.6,
A078,2,2020-08-21,5.2442,27.7,33.6,
A083,2,2020-08-21,4.0166,27.7,33.6,
