Time,Untitled 16,Untitled 17,Untitled 18,Flow,Set to (mL/min),Time0
02/12/20 06:10 PM,-0.041425,0,502.916902,234,300,03:09:55 AM
02/12/20 06:15 PM,-0.041474,0,503.830716,234,300,03:15:00 AM
02/12/20 06:20 PM,-0.041648,0,503.024265,234,300,03:19:57 AM
02/12/20 06:25 PM,-0.041707,0,501.7941,234,300,03:24:59 AM
02/12/20 06:30 PM,-0.041514,0,503.538951,234,300,03:29:56 AM
02/12/20 06:35 PM,-0.041527,0,501.798198,216,300,03:34:59 AM
02/12/20 06:40 PM,-0.041088,0,507.032752,216,300,03:39:56 AM
02/12/20 06:45 PM,-0.041435,0,504.246235,234,300,03:44:57 AM
02/12/20 06:50 PM,-0.040979,0,502.63989,234,300,03:49:58 AM
02/12/20 06:55 PM,-0.041655,0,501.599044,216,300,03:55:00 AM
02/12/20 07:00 PM,-0.041412,0,501.252368,234,300,03:59:55 AM
02/12/20 07:05 PM,-0.041514,0,490.121871,216,300,04:04:55 AM
02/12/20 07:10 PM,-0.041268,0,507.058159,216,300,04:09:56 AM
02/12/20 07:15 PM,-0.041235,0,504.464239,216,300,04:14:57 AM
02/12/20 07:20 PM,-0.041383,0,503.102124,234,300,04:19:56 AM
02/12/20 07:25 PM,-0.041366,0,496.952116,216,300,04:24:57 AM
02/12/20 07:30 PM,-0.041455,0,3994.716495,216,300,04:29:54 AM
02/12/20 07:35 PM,-0.040812,0,502.214536,216,300,04:34:58 AM
02/12/20 07:40 PM,-0.041396,1.07384,502.016202,216,300,04:39:55 AM
02/12/20 07:45 PM,-0.041599,0,507.699058,234,300,04:44:57 AM
02/12/20 07:50 PM,-0.041507,0,506.222204,216,300,04:50:00 AM
02/12/20 07:55 PM,-0.041451,0.4195,500.539348,234,300,04:55:00 AM
02/12/20 08:00 PM,-0.03837,0.74254,496.657893,234,300,04:59:58 AM
02/12/20 08:05 PM,1.324145,1.185105,504.80108,216,300,05:04:55 AM
02/12/20 08:10 PM,0.812659,0.782863,503.487319,234,300,05:10:00 AM
02/12/20 08:15 PM,-0.041606,0,502.073571,216,300,05:14:58 AM
02/12/20 08:20 PM,-0.041284,0.426189,495.399043,216,300,05:20:00 AM
02/12/20 08:25 PM,-0.041399,0,505.812422,234,300,05:24:57 AM
02/12/20 08:30 PM,-0.041609,0.255064,498.220801,234,300,05:29:59 AM
02/12/20 08:35 PM,-0.041363,0,506.158278,234,300,05:34:55 AM
02/12/20 08:40 PM,-0.038721,0.131801,505.039573,234,300,05:39:59 AM
02/12/20 08:45 PM,-0.041412,0.077055,503.299639,216,300,05:44:57 AM
02/12/20 08:50 PM,-0.041376,0,503.478304,234,300,05:49:55 AM
02/12/20 08:55 PM,-0.039862,0,501.121238,234,300,05:54:57 AM
02/12/20 09:00 PM,-0.041494,1.745295,500.268072,216,300,05:59:59 AM
02/12/20 09:05 PM,1.382059,0.782471,501.5679,234,300,06:04:59 AM
02/12/20 09:10 PM,1.389999,1.062434,501.879335,234,300,06:09:54 AM
02/12/20 09:15 PM,-0.041314,0.105184,495.463788,234,300,06:14:58 AM
02/12/20 09:20 PM,-0.041474,0,505.194471,216,300,06:19:57 AM
02/12/20 09:25 PM,-0.041412,0,502.879203,234,300,06:24:58 AM
02/12/20 09:30 PM,-0.04137,0.369411,504.373268,234,300,06:29:55 AM
02/12/20 09:35 PM,-0.041481,0,498.46831,234,300,06:34:57 AM
02/12/20 09:40 PM,-0.041442,0.527095,501.892448,234,300,06:39:59 AM
02/12/20 09:45 PM,-0.040596,0.382852,505.520657,234,300,06:44:56 AM
02/12/20 09:50 PM,-0.041281,0.286143,501.074523,216,300,06:49:57 AM
02/12/20 09:55 PM,-0.04135,0,502.03833,234,300,06:54:59 AM
02/12/20 10:00 PM,-0.041078,2.856298,499.695197,234,300,07:00:00 AM
02/12/20 10:05 PM,2.198066,1.66039,500.924543,216,300,07:04:57 AM
02/12/20 10:10 PM,-0.030332,0.41367,503.201291,216,300,07:09:57 AM
02/12/20 10:15 PM,-0.041438,0.457598,501.520366,216,300,07:14:58 AM
02/12/20 10:20 PM,-0.041337,0,503.497154,216,300,07:19:55 AM
02/12/20 10:25 PM,-0.041347,0,501.705587,216,300,07:25:00 AM
02/12/20 10:30 PM,-0.041419,0.124855,500.113174,234,300,07:29:57 AM
02/12/20 10:35 PM,-0.041707,0.853612,501.9449,216,300,07:34:58 AM
02/12/20 10:40 PM,-0.04136,0,513.174564,216,300,07:39:59 AM
02/12/20 10:45 PM,-0.041317,0,505.322323,216,300,07:44:57 AM
02/12/20 10:50 PM,-0.041281,0,501.852289,216,300,07:49:58 AM
02/12/20 10:55 PM,-0.041533,0,502.003089,216,300,07:55:00 AM
02/12/20 11:00 PM,-0.041278,3.522574,509.416864,216,300,07:59:56 AM
02/12/20 11:05 PM,2.224846,2.595155,508.740724,216,300,08:05:00 AM
02/12/20 11:10 PM,1.169572,1.278936,498.067543,216,300,08:09:59 AM
02/12/20 11:15 PM,-0.040891,0,501.872778,216,300,08:14:59 AM
02/12/20 11:20 PM,-0.041547,0,500.518039,216,300,08:20:01 AM
