Time,Tank 1 ,Tank 2,Tank 3,Tank 4,Tank 5 ,Tank 6,Tank 7,Tank 8,Tank 9,Tank 10,Tank 11,Tank 12
08/15/2020 13:15:00,28.022,28.02605,28.0039,28.01426,28.01064,28.03369,28.15093,28.02657,28.02095,27.99318,28.00835,28.01623
08/15/2020 13:20:00,28.05052,28.00095,28.00874,28.0189,28.00951,28.02585,28.1512,28.04842,28.01059,28.0357,28.01489,28.01625
08/15/2020 13:25:00,28.05734,27.99548,28.01277,28.0092,28.00258,28.01898,28.1577,28.023,28.00523,28.05124,28.01261,27.99743
08/15/2020 13:30:00,28.03888,28.02818,28.01272,28.01626,28.01462,28.00081,28.15587,28.00526,28.00669,28.04549,28.01121,28.02318
08/15/2020 13:35:00,28.01351,28.02246,28.01128,28.00108,28.03647,28.00154,28.15293,28.04428,28.00169,28.03742,28.01269,28.05645
08/15/2020 13:40:00,28.00202,28.01405,28.00436,28.00341,28.03238,28.0257,28.15608,28.04677,28.02229,28.02034,28.00092,28.04332
08/15/2020 13:45:00,28.01869,27.99608,28.01728,28.03633,28.0379,28.02562,28.15208,28.01651,28.02846,28.00612,28.0071,28.04129
08/15/2020 13:50:00,28.05565,28.01967,28.03182,28.03772,28.02869,28.01287,28.15357,27.99292,28.01993,27.99759,28.01484,28.01749
08/15/2020 13:55:00,28.05419,28.03883,28.02833,28.04567,28.01998,28.01697,28.15164,28.05481,28.0207,28.05914,28.00712,28.00107
08/15/2020 14:00:00,28.03803,28.02711,28.02013,28.03852,28.019,28.00256,28.16018,28.02703,28.01098,28.06644,28.00274,28.00084
08/15/2020 14:05:00,28.02082,28.00297,28.01372,28.02474,28.02926,28.01475,28.15324,28.00664,28.00787,28.05177,28.00526,28.03582
08/15/2020 14:10:00,28.00646,28.00303,27.99138,28.02231,28.01797,28.02547,28.15043,28.01226,28.00351,28.04342,28.00798,28.03565
08/15/2020 14:15:00,28.00063,28.04957,28.03072,28.01392,28.01169,28.016,28.14821,28.07052,28.01856,28.02954,28.0062,28.02275
08/15/2020 14:20:00,28.01929,28.04354,28.05908,28.01852,28.00326,28.00351,28.14534,28.03975,28.01069,28.00825,28.00223,28.01516
08/15/2020 14:25:00,28.03759,28.03146,28.05691,28.01595,28.00367,28.00567,28.14549,28.01377,28.00643,27.99082,28.02888,27.99553
08/15/2020 14:30:00,28.0188,28.01967,28.05509,28.00982,28.00779,28.0201,28.15187,28.00194,28.00994,28.03215,28.03174,28.04459
08/15/2020 14:35:00,28.00544,27.99172,28.04729,28.01889,28.018,28.01641,28.14818,28.0475,28.01151,28.05272,28.02528,28.04768
08/15/2020 14:40:00,28.0083,28.03857,28.02582,28.03605,28.01585,28.00435,28.144,28.03769,28.00076,28.03805,28.01325,28.0337
08/15/2020 14:45:00,28.04062,28.06011,28.02195,28.03311,28.01313,28.00849,28.13433,28.00954,28.00685,28.01979,28.01692,28.02744
08/15/2020 14:50:00,28.03342,28.04878,28.00912,28.02441,28.00826,28.04839,28.13859,28.01392,28.00399,28.00387,28.00525,28.01525
08/15/2020 14:55:00,27.99922,28.03231,27.99972,28.01574,28.00687,28.0527,28.14938,28.05086,28.02161,27.9905,28.01705,27.99856
08/15/2020 15:00:00,28.01379,28.01848,28.02018,28.00864,28.01308,28.03834,28.13921,28.02034,28.02585,28.03303,28.00572,28.01843
08/15/2020 15:05:00,28.02297,27.99179,28.04308,27.99382,28.01898,28.03351,28.14539,28.00423,28.01789,28.03975,28.01507,28.03113
08/15/2020 15:10:00,28.02152,28.01636,28.06072,28.02159,28.0198,28.02079,28.14421,28.02356,28.01593,28.03059,27.99835,28.02998
08/15/2020 15:15:00,28.0111,28.04868,28.05231,28.05786,28.01469,28.00169,28.13892,28.03562,28.00402,28.01205,28.01543,28.01638
