Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Salinity,Untitled 5,Untitled 6,Untitled 7,,
08/19/2020 18:40:00,2.577627,199.7031,157.5801,54.22765,32.79828,29.08984,29.15681,-11.8477,,
08/19/2020 18:45:00,2.593855,199.3999,150.5789,53.76054,31.62399,30.9087,30.4509,-11.2532,,
08/19/2020 18:50:00,2.585578,199.4573,155.86,52.56817,31.29021,29.47535,29.74336,-10.5767,,
08/19/2020 18:55:00,2.572792,199.7686,155.0976,54.32599,32.63866,29.76653,29.48905,-13.1393,,
08/19/2020 19:00:00,2.60197,199.8915,152.8391,54.24404,32.69745,30.41656,29.32088,-13.9388,,
08/19/2020 19:05:00,2.571316,198.3389,153.3931,53.08855,32.08861,29.826,29.06247,-13.6928,,
08/19/2020 19:10:00,2.587217,199.4081,151.7476,54.44892,33.04482,30.58266,29.01735,-14.5948,,
08/19/2020 19:15:00,2.597134,199.0517,153.5292,53.46552,32.53523,29.99004,28.78151,-13.3238,,
08/19/2020 19:20:00,2.59697,199.6662,156.2568,53.92854,33.04787,29.42819,28.49849,-12.5857,,
08/19/2020 19:25:00,2.610575,200.2643,152.8491,54.59643,32.45987,30.51909,30.02432,-11.1917,,
08/19/2020 19:30:00,2.595085,199.8014,155.3073,53.73595,31.96144,29.71937,29.90947,-12.7087,,
08/19/2020 19:35:00,2.626885,200.4241,152.1256,54.06785,31.86847,30.76516,30.38732,-12.7497,,
08/19/2020 19:40:00,2.576972,198.9657,153.1182,54.53496,32.75327,30.07822,29.52802,-12.3602,,
08/19/2020 19:45:00,2.58361,200.8296,151.1765,55.91172,33.48756,31.14656,29.81103,-11.3352,,
08/19/2020 19:50:00,2.58861,199.6703,151.5224,54.61282,32.6459,30.72004,29.76386,-12.2167,,
08/19/2020 19:55:00,2.618935,200.3175,153.4767,55.00208,33.13366,30.36119,29.43368,-13.7953,,
08/19/2020 20:00:00,2.652293,200.338,152.1633,54.1498,31.94151,30.7303,30.35861,-12.9752,,
08/19/2020 20:05:00,2.636229,201.3908,153.8446,54.51857,32.61304,30.56215,29.71874,-13.6108,,
08/19/2020 20:10:00,2.626722,200.7641,154.371,54.28502,32.35581,30.24226,29.86846,-16.0093,,
08/19/2020 20:15:00,2.6091,200.9607,152.9591,55.7765,33.19631,30.68518,30.10225,-12.6062,,
08/19/2020 20:20:00,2.63713,201.2639,153.9164,54.59643,31.98566,30.50678,30.74212,-10.9252,,
08/19/2020 20:25:00,2.561235,199.3016,150.7628,53.21557,32.00338,30.82872,29.31883,-12.4217,,
08/19/2020 20:30:00,2.590167,200.6698,152.8404,55.07173,33.05254,30.63597,29.6203,-10.8637,,
08/19/2020 20:35:00,2.597872,199.5802,155.2981,52.75665,31.42807,29.6599,29.7249,-14.8818,,
08/19/2020 20:40:00,2.602953,200.125,150.8233,54.6456,32.1862,31.04608,30.48576,-13.5493,,
08/19/2020 20:45:00,2.621394,200.9484,152.077,53.69498,31.35402,30.92715,30.80364,-12.6677,,
08/19/2020 20:50:00,2.569923,198.0972,154.6949,52.20759,31.54572,29.40563,28.98044,-11.8682,,
08/19/2020 20:55:00,2.59238,199.6785,153.3135,54.3055,32.5223,30.22586,29.64081,-12.1962,,
08/19/2020 21:00:00,2.593282,199.3671,155.5963,51.83062,31.12626,29.52046,29.23269,-13.6928,,
08/19/2020 21:05:00,2.574923,199.4245,154.3524,53.83429,32.63574,29.87111,29.003,-13.0778,,
08/19/2020 21:10:00,2.602052,200.9976,152.2368,54.08014,32.00028,30.89639,30.19864,-13.1598,,
08/19/2020 21:15:00,2.608854,201.5137,151.8649,54.73164,32.19176,31.14656,30.5637,-11.7247,,
08/19/2020 21:20:00,2.601888,199.1254,151.5483,52.59275,31.10469,30.55805,30.05714,-12.3192,,
08/19/2020 21:25:00,2.580086,198.8592,152.0722,54.12521,32.95965,30.33659,28.82047,-10.6587,,
08/19/2020 21:30:00,2.56435,197.9087,155.8346,52.34281,31.66858,29.04883,28.93327,-13.9388,,
08/19/2020 21:35:00,2.608526,198.9329,148.0819,51.67492,30.46473,31.49106,30.10841,-12.1757,,
08/19/2020 21:40:00,2.623033,199.1828,154.3817,51.77735,30.86227,29.79524,29.58749,-11.9092,,
08/19/2020 21:45:00,2.581316,198.2733,152.1163,52.78534,31.57569,30.15819,29.52802,-12.7292,,
08/19/2020 21:50:00,2.555334,199.0476,153.4124,52.63783,30.87886,30.0208,30.4591,-14.1028,,
08/19/2020 21:55:00,2.61369,199.6457,149.0798,53.4983,31.15359,31.40698,30.91644,-12.8112,,
08/19/2020 22:00:00,2.573857,199.7276,154.5458,52.87548,31.80105,29.90392,29.27781,-14.8408,,
08/19/2020 22:05:00,2.582299,197.9579,151.3652,51.3799,31.07198,30.27712,28.84713,-13.8773,,
08/19/2020 22:10:00,2.628771,200.7477,152.3364,53.63352,31.93493,30.79797,29.8459,-13.7338,,
08/19/2020 22:15:00,2.603363,200.2356,152.2654,53.8261,32.81144,30.67288,28.73844,-13.3238,,
08/19/2020 22:20:00,2.60492,199.5515,151.4825,53.86707,31.697,30.69749,30.4468,-11.7657,,
08/19/2020 22:25:00,2.582791,197.3188,151.2859,51.02342,30.22951,30.11718,29.79463,-12.1142,,
08/19/2020 22:30:00,2.573857,199.236,151.9772,53.0066,31.69862,30.46987,29.56698,-15.5378,,
08/19/2020 22:35:00,2.571234,198.8305,153.1734,52.66241,31.81737,30.0249,29.03581,-11.8477,,
08/19/2020 22:40:00,2.582955,200.5879,156.0443,52.46573,31.65561,29.74192,29.07888,-13.6518,,
08/19/2020 22:45:00,2.591069,198.9206,149.7719,52.81402,31.36129,31.00097,29.88691,-11.8477,,
08/19/2020 22:50:00,2.595331,199.1213,153.1888,52.83041,31.52414,30.10282,29.65312,-11.9502,,
08/19/2020 22:55:00,2.602133,200.7395,153.5734,54.4776,32.76056,30.45347,29.46034,-10.8842,,
08/19/2020 23:00:00,2.589102,198.4946,152.8794,51.11356,30.42186,30.01055,29.58339,-12.9342,,
08/19/2020 23:05:00,2.627377,201.0017,153.8346,54.6415,32.28646,30.45552,30.3299,-13.1188,,
08/19/2020 23:10:00,2.592872,198.7281,152.4715,52.72797,31.56672,30.18895,29.4829,-14.2463,,
08/19/2020 23:15:00,2.60828,200.6658,153.5575,53.42045,31.948,30.43707,29.61005,-12.8317,,
08/19/2020 23:20:00,2.561153,199.9816,153.6478,53.59254,32.54228,30.21971,28.8984,-14.2873,,
08/19/2020 23:25:00,2.556809,198.175,151.5575,52.0273,31.18149,30.28532,29.35164,-14.2053,,
08/19/2020 23:30:00,2.587627,198.3225,151.0251,52.45754,31.18331,30.47603,29.79463,-13.3238,,
08/19/2020 23:35:00,2.614755,198.8305,151.0584,52.14613,31.05601,30.61136,29.66952,-11.1917,,
08/19/2020 23:40:00,2.611477,200.5306,150.8904,54.43253,32.25903,31.14246,30.16173,-12.3397,,
08/19/2020 23:45:00,2.61787,200.125,154.2391,53.14182,31.91955,30.09872,29.3701,-13.0162,,
08/19/2020 23:50:00,2.573939,198.896,154.1822,51.44136,30.25185,29.76858,30.20275,-12.4832,,
08/19/2020 23:55:00,2.562219,197.9702,151.7242,51.93716,30.69494,30.18074,30.01817,-12.6062,,
08/20/2020 00:00:00,2.593118,199.236,151.6168,53.18689,31.55639,30.57035,29.96895,-14.4513,,
08/20/2020 00:05:00,2.620165,201.5629,155.3776,54.55135,32.266,30.19305,30.27042,-12.4012,,
08/20/2020 00:10:00,2.601888,198.8551,152.5572,52.16662,30.96324,30.20125,29.83564,-11.9502,,
08/20/2020 00:15:00,2.582217,199.4532,154.5716,53.10904,32.11626,29.81984,29.04196,-12.6472,,
08/20/2020 00:20:00,2.618689,201.2147,152.663,54.04736,32.13414,30.83898,29.9628,-14.6153,,
